Batch,Pageno,Company_Name,Website,LinkedIn
Eurasia_7,1,N/A,N/A,N/A
Eurasia_7,1,N/A,N/A,N/A
Eurasia_8,1,N/A,N/A,N/A
Eurasia_8,1,N/A,N/A,N/A
Eurasia_8,1,N/A,N/A,N/A
Eurasia_9,1,N/A,N/A,N/A
Eurasia_9,1,N/A,N/A,N/A
Eurasia_9,1,N/A,N/A,N/A
GA_10,1,Carelulu,http://www.carelulu.com,N/A
GA_10,1,Optimize Health,http://rainlocal.com,N/A
GA_10,1,Promolta,http://www.promolta.com,N/A
GA_10,1,Remoov,http://remoovit.com,N/A
GA_10,1,Rover,http://www.judo.app,N/A
GA_10,1,Silkroad Images,http://silkroad-images.com,N/A
GA_10,1,Studysoup,http://studysoup.com,N/A
GA_10,1,Uxcam,http://uxcam.com,N/A
GA_10,1,Zoomforth,http://www.zoomforth.com,N/A
GA_10,1,Innohub,http://uplette.com,N/A
GA_10,2,WeDidIt,http://wedid.it,N/A
GA_10,2,Shakr Media,http://www.shakr.com,N/A
GA_10,2,Revivn,http://www.revivn.com,N/A
GA_10,2,Shopline,http://shoplineapp.com,N/A
GA_10,2,Lendsquare,http://lendsquare.com,N/A
Egypt_Scale_Up1,1,Khazenly,http://khazenly.com,N/A
Egypt_Scale_Up1,1,Nowlun.com,http://www.nowlun.com,N/A
Eurasia_7,1,N/A,N/A,N/A
Eurasia_7,1,N/A,N/A,N/A
Eurasia_7,1,N/A,N/A,N/A
Eurasia_8,1,N/A,N/A,N/A
Eurasia_8,1,N/A,N/A,N/A
Eurasia_8,1,N/A,N/A,N/A
Eurasia_9,1,N/A,N/A,N/A
Eurasia_9,1,N/A,N/A,N/A
Eurasia_9,1,N/A,N/A,N/A
GA_10,1,Carelulu,http://www.carelulu.com,N/A
GA_10,1,Optimize Health,http://rainlocal.com,N/A
GA_10,1,Promolta,http://www.promolta.com,N/A
GA_10,1,Remoov,http://remoovit.com,N/A
GA_10,1,Rover,http://www.judo.app,N/A
GA_10,1,Silkroad Images,http://silkroad-images.com,N/A
GA_10,1,Studysoup,http://studysoup.com,N/A
GA_10,1,Uxcam,http://uxcam.com,N/A
GA_10,1,Zoomforth,http://www.zoomforth.com,N/A
GA_10,1,Innohub,http://uplette.com,N/A
GA_10,2,WeDidIt,http://wedid.it,N/A
GA_10,2,Shakr Media,http://www.shakr.com,N/A
GA_10,2,Revivn,http://www.revivn.com,N/A
GA_10,2,Shopline,http://shoplineapp.com,N/A
GA_10,2,Lendsquare,http://lendsquare.com,N/A
GA_11,1,N/A,N/A,N/A
GA_11,1,N/A,N/A,N/A
GA_11,1,N/A,N/A,N/A
Egypt_Scale_Up1,1,Khazenly,http://khazenly.com,N/A
Egypt_Scale_Up1,1,Nowlun.com,http://www.nowlun.com,N/A
Eurasia_7,1,N/A,N/A,N/A
Eurasia_7,1,N/A,N/A,N/A
Eurasia_7,1,N/A,N/A,N/A
Eurasia_8,1,N/A,N/A,N/A
Eurasia_8,1,N/A,N/A,N/A
Eurasia_8,1,N/A,N/A,N/A
Eurasia_9,1,N/A,N/A,N/A
Eurasia_9,1,N/A,N/A,N/A
Eurasia_9,1,N/A,N/A,N/A
GA_10,1,Carelulu,http://www.carelulu.com,N/A
GA_10,1,Optimize Health,http://rainlocal.com,N/A
GA_10,1,Promolta,http://www.promolta.com,N/A
GA_10,1,Remoov,http://remoovit.com,N/A
GA_10,1,Rover,http://www.judo.app,N/A
GA_10,1,Silkroad Images,http://silkroad-images.com,N/A
GA_10,1,Studysoup,http://studysoup.com,N/A
GA_10,1,Uxcam,http://uxcam.com,N/A
GA_10,1,Zoomforth,http://www.zoomforth.com,N/A
GA_10,1,Innohub,http://uplette.com,N/A
GA_10,2,WeDidIt,http://wedid.it,N/A
GA_10,2,Shakr Media,http://www.shakr.com,N/A
GA_10,2,Revivn,http://www.revivn.com,N/A
GA_10,2,Shopline,http://shoplineapp.com,N/A
GA_10,2,Lendsquare,http://lendsquare.com,N/A
GA_11,1,N/A,N/A,N/A
GA_11,1,N/A,N/A,N/A
GA_11,1,N/A,N/A,N/A
GA_12,1,Agfunder,http://agfunder.com,N/A
GA_12,1,Blueboard,http://www.blueboard.com,N/A
GA_12,1,Cheddar Up,http://www.cheddarup.com,N/A
GA_12,1,Edfa3ly,http://www.edfa3ly.com,https://www.linkedin.com/company/edfa3ly
GA_12,1,Growbots,http://www.growbots.com,N/A
GA_12,1,Hodl,http://www.hodl.mobi,N/A
GA_12,1,Innovaccer,http://innovaccer.com,N/A
GA_12,1,Linte,http://www.linte.com,N/A
GA_12,1,Rhythmos,http://rhythmos.io,https://www.linkedin.com/company/rhythmosio
GA_12,1,Speedlancer,http://speedlancer.com,N/A
GA_12,2,Yellowdig,http://www.yellowdig.co,N/A
GA_12,2,Backlotcars,http://backlotcars.com,N/A
GA_12,2,DCHQ,http://dchq.co,N/A
GA_12,2,Hexa,http://hexa.ai,N/A
Egypt_Scale_Up1,1,Khazenly,http://khazenly.com,N/A
Egypt_Scale_Up1,1,Nowlun.com,http://www.nowlun.com,N/A
Eurasia_7,1,N/A,N/A,N/A
Eurasia_7,1,N/A,N/A,N/A
Eurasia_7,1,N/A,N/A,N/A
Eurasia_8,1,N/A,N/A,N/A
Eurasia_8,1,N/A,N/A,N/A
Eurasia_8,1,N/A,N/A,N/A
Eurasia_9,1,N/A,N/A,N/A
Eurasia_9,1,N/A,N/A,N/A
Eurasia_9,1,N/A,N/A,N/A
GA_10,1,Carelulu,http://www.carelulu.com,N/A
GA_10,1,Optimize Health,http://rainlocal.com,N/A
GA_10,1,Promolta,http://www.promolta.com,N/A
GA_10,1,Remoov,http://remoovit.com,N/A
GA_10,1,Rover,http://www.judo.app,N/A
GA_10,1,Silkroad Images,http://silkroad-images.com,N/A
GA_10,1,Studysoup,http://studysoup.com,N/A
GA_10,1,Uxcam,http://uxcam.com,N/A
GA_10,1,Zoomforth,http://www.zoomforth.com,N/A
GA_10,1,Innohub,http://uplette.com,N/A
GA_10,2,WeDidIt,http://wedid.it,N/A
GA_10,2,Shakr Media,http://www.shakr.com,N/A
GA_10,2,Revivn,http://www.revivn.com,N/A
