id,name,slug,batch,status,one_liner,long_description,website,ycdc_company_url,all_locations,team_size,industry,subindustry,industries,tags,regions,stage,top_company,isHiring,nonprofit,former_names,small_logo_thumb_url,launched_at
12565,Odeko,odeko,Summer 2019,Active,Our operations software makes it easier to run--and grow--your cafe,"We’re a passionate team of dreamers and builders, determined to liberate small businesses from the not-so-fun aspects of the job so that they can focus on what’s fun and important.",http://www.odeko.com,https://www.ycombinator.com/companies/odeko,"New York City, NY, USA; New York, NY, USA",371,B2B,B2B,B2B,"B2B, Logistics","United States of America, America / Canada, Remote, Partly Remote",Growth,True,True,False,"Cloosiv, Odeko (Formerly Cloosiv)",https://bookface-images.s3.amazonaws.com/small_logos/3b1e7b7eb171eccce88cf7089d2997df49764f1c.png,1556154664
22571,Gather,gather-2,Summer 2019,Active,Building a better way to meet online.,"Gather is a video chat platform designed to make virtual interactions more human. Our mission is to create opportunity and connection for everyone, no matter where they are. We do this by building the Metaverse, a virtual layer over the physical world where people can work, socialize, and learn. 

Since we launched in May of 2020, Gather has brought millions of people together. We have raised a total of $77 million in Series A and B from Sequoia Capital, Index Ventures, and more. We’re a small, friendly team based out of a state-of-the-art virtual office, where you can work whenever and wherever suits you. Come join us!

https://www.fastcompany.com/90692692/gather-inclusive-metaverse-vr",https://www.gather.town/,https://www.ycombinator.com/companies/gather-2,"New York City, NY, USA; San Francisco, CA, USA; Remote",60,Consumer,Consumer -> Social,"Consumer, Social",Metaverse,"United States of America, America / Canada, Remote, Fully Remote",Early,False,True,False,Gather Presence,https://bookface-images.s3.amazonaws.com/small_logos/7861de884111e3c22dce9bd8a25a30fafb7149ec.png,1598914813
12941,Sequence Bio,sequence-bio,Summer 2019,Active,Discovering the true signals of disease to power life-changing drugs.,"90% of drug candidates fail, delaying help for those in need. We’re on a mission to change that. Better drug target discovery powered by the Newfoundland founder effect.",https://www.sequencebio.com/,https://www.ycombinator.com/companies/sequence-bio,"St. John's, NL, Canada",52,Healthcare,Healthcare -> Drug Discovery and Delivery,"Healthcare, Drug Discovery and Delivery","Genomics, Therapeutics, Drug discovery","Canada, America / Canada, Remote, Partly Remote",Early,False,False,False,,https://bookface-images.s3.amazonaws.com/small_logos/819f850ae7a7b60333fcb1b8a2c4ef4e8a3d2fd3.png,1560967440
12903,Breadfast,breadfast,Summer 2019,Active,"Household needs, from bread to everything.","Breadfast is Egypt’s leading online grocery brand. We operate a fully vertically integrated supply chain, delivering 8,000 SKUs on-demand in under 60 minutes. Our selection includes a range of freshly baked bread, coffee, fruits, vegetables, eggs, dairy, meat and poultry, alongside a range of CPG staples designed to serve a household’s daily and weekly needs.",https://www.breadfast.com,https://www.ycombinator.com/companies/breadfast,"Cairo, Cairo Governorate, Egypt",10000,Consumer,Consumer,Consumer,"Grocery, Consumer, Delivery, Logistics, E-commerce","Egypt, Middle East and North Africa, Remote, Partly Remote",Growth,False,False,False,,https://bookface-images.s3.amazonaws.com/small_logos/b0811b2ae46cac528f54fd8219ca136ec457ea9a.png,1559595488
12897,Apurata,apurata,Summer 2019,Active,Point of sale financing for Latin America's middle class.,We offer instant underwriting of financing at the point of sale (ecommerce or physical) focused on small purchases ($100-$1000). ,https://apurata.com,https://www.ycombinator.com/companies/apurata,"Lima, Callao Region, Peru; Lima, Lima Province, Peru",12,Fintech,Fintech -> Credit and Lending,"Fintech, Credit and Lending","Fintech, E-commerce","Peru, Latin America, Remote, Partly Remote",Early,False,False,False,,https://bookface-images.s3.amazonaws.com/small_logos/9dca71a733251f031ad3838636f323fb93e5d590.png,1559442196
12877,EPIC AEROSPACE,epic-aerospace,Summer 2019,Active,Last-mile delivery for satellites.,,http://epic-aerospace.com,https://www.ycombinator.com/companies/epic-aerospace,"Buenos Aires, CABA, Argentina",14,Industrials,Industrials -> Aviation and Space,"Industrials, Aviation and Space","Commercial Space Launch, Hard Tech, Space Exploration","Argentina, Latin America",Growth,False,False,False,Epic Aerospace,https://bookface-images.s3.amazonaws.com/small_logos/db97295ee4b74df29a0373eec486f13b36c11c48.png,1559319885
12876,GitStart,gitstart,Summer 2019,Active,Pull Requests as a Service,"GitStart accelerates software engineers with Pull Requests as a Service. Assign tickets to GitStart Bot, go to sleep, and wake up with PRs. GitStart Bot automatically manages thousands of AI models and full-time engineers and runs peer reviews until PRs are ready to be merged. It’s scalable, flexible, and quality is guaranteed: you only pay for merged PRs.",https://www.gitstart.com,https://www.ycombinator.com/companies/gitstart,"San Francisco, CA, USA; Remote",19,B2B,"B2B -> Engineering, Product and Design","B2B, Engineering, Product and Design",Developer Tools,"United States of America, America / Canada, Remote, Fully Remote",Early,False,False,False,Murcul,https://bookface-images.s3.amazonaws.com/small_logos/26fef31f4719ab5a8c2e4a0ba8f081e756d63f0d.png,1559319581
12875,LAIKA,laika,Summer 2019,Active,Online pets supplies for Latin America with over 4000 products & 20…,"The top of mind for pets, the “one-stop shop” market in LATAM. A pet ecosystem that combines On and offline platform where pet owners will find a solution for all their needs, including products & services. 
Currently, to meet the needs of their pets, people must go to different places and platforms. To find products, they go to one place; for services, they go to several others; and for healthcare, a few more. In Colombia, in average, a person must visit or consult more than seven places per year to meet the needs of their pets.

We built a digital platform where users don’t have to go anywhere else to meet said needs. With two main sections; products and services. In the products section, we have more than 4,000 references (among which you can find most of the brands of food, snacks, medicines, accessories and others). In the services section, we have more than 17 services, all the healthcare, beauty and entertainment services. All of the above delivered straight to your home and with the flexibility of choosing the date and time on and at which you wish to receive the order, including same-day deliveries for the main cities and accepting all payment methods, both online and cash on delivery.",https://laika.com.co/,https://www.ycombinator.com/companies/laika,"Bogotá, Bogota, Colombia",500,Consumer,Consumer -> Home and Personal,"Consumer, Home and Personal",Marketplace,"Colombia, Latin America, Remote, Partly Remote",Early,False,False,False,,https://bookface-images.s3.amazonaws.com/small_logos/d1d0a96d3caa0ed417a09c003a03a851b6493e70.png,1559319300
12867,Vorticity,vorticity,Summer 2019,Active,The Fastest Scientific Computing Platform on the Planet,"Many pressing problems facing humanity can be solved with faster scientific compute. Currently, it takes billions of dollars to design and develop a new fusion reactor, a hyper-sonic airplane or a new cancer treatment. This is because scientists and engineers have to build very expensive things before they even know if their ideas work. But what if we can simulate the workings of these ideas (and more) on computers first and have high confidence that it works before we build really expensive things?

The work of humanity's greatest scientists over the years has given us the physics and math to do this. The problem is that we simply do not have the computing power to solve these big problems.

To address this, the Vorticity Inc is re-imagining scientific computing all the way down to processor architecture and system design. Our proven technology is already helping the energy, life sciences and aerospace industries.",http://vorticity.xyz/,https://www.ycombinator.com/companies/vorticity,"San Francisco, CA, USA",10,Industrials,Industrials -> Manufacturing and Robotics,"Industrials, Manufacturing and Robotics",Cloud Computing,"United States of America, America / Canada",Growth,False,True,False,"Nabla Computing, Nabla Inc",https://bookface-images.s3.amazonaws.com/small_logos/bf45a738c52014231eb5cc7bfba5ca712ef23c50.png,1559271873
12863,Taskade,taskade,Summer 2019,Active,One prompt. One app. One living workspace for teams.,"Taskade is the execution layer for ideas. One prompt becomes a live app that thinks and collaborates with your team. Build live dashboards, websites, and tools that connect with your workspace in real time.

Every workflow automates itself.
Every project becomes a live database.
Every agent plans, acts, and learns inside your workspace.

No code. No setup. Just creation.

Taskade Genesis turns work into living systems.
Projects remember. Agents learn. Automations keep everything in motion.
Build once, and your workspace evolves as your data and team grow.

Your workspace is the backend. The interface builds itself.
Software should be built by everyone.
Build without permission.

https://www.taskade.com",https://www.taskade.com,https://www.ycombinator.com/companies/taskade,"San Francisco, CA, USA",6,B2B,B2B -> Productivity,"B2B, Productivity","Generative AI, SaaS, B2B, Collaboration, AI","United States of America, America / Canada, Remote, Partly Remote",Early,False,True,False,,https://bookface-images.s3.amazonaws.com/small_logos/6b44dce0d7c87c47de6b97a5c0517675320527da.png,1559271132
