id,name,slug,batch,status,one_liner,long_description,website,ycdc_company_url,all_locations,team_size,industry,subindustry,industries,tags,regions,stage,top_company,isHiring,nonprofit,former_names,small_logo_thumb_url,launched_at
630,Weave,weave,Winter 2014,Public,Customer communication and payments platform.,"As the pace of innovation continues, it is growing more difficult to see the value of technology. Often meaningful information is inaccessible at the time it would be most beneficial. Weave threads together data, software and communication platforms to build stronger relationships at the point of contact by making valuable information instantly available in simple and intuitive formats. This delivers improved productivity, better collaboration and greater insights making it easier to meet the needs of patients and to build better business and clinical outcomes.",http://getweave.com,https://www.ycombinator.com/companies/weave,"Lehi, UT, USA",600,B2B,B2B -> Office Management,"B2B, Office Management",SaaS,"United States of America, America / Canada",Growth,True,False,False,Weave Communications,https://bookface-images.s3.amazonaws.com/small_logos/5d33fe7ddb69049aa965ac936b584f1efc32afd2.png,1384979087
636,Algolia,algolia,Winter 2014,Active,A developer-friendly and enterprise-grade search API.,"Our mission is to make every search interaction meaningful & rewarding, through developer-friendly and enterprise-grade APIs.

Algolia is the leading Search & Discovery API for websites and mobile apps. We help the most innovative companies across e-commerce, media and SaaS industries create powerful, relevant and scalable discovery experiences for their users. Unlike other solutions, our hosted platform reduces the complexities of building and scaling a fast, relevant digital experience and helps teams accelerate development time. More than 9,000 companies like Under Armour, Twitch, Periscope, Medium and Stripe rely on Algolia to manage 50+ billion search queries a month.

Founded in 2012, we're backed by $184M in funding from Accel Partners, Alven Capital, Point Nine Capital and Storm Ventures. The team is headquartered in San Francisco with offices in Paris, London, New York, and Atlanta. To learn more, visit www.algolia.com.

---
We’re looking for talented, passionate people to build the world’s best search technology. As an ownership-driven company, we seek team members who thrive under autonomy and diversity. 

We're committed to building an inclusive and diverse workplace. We care about each other and the world around us, and embrace talented people regardless of their race, age, ancestry, religion, sex, gender identity, sexual orientation, marital status, color, veteran status, disability and socioeconomic background",http://www.algolia.com,https://www.ycombinator.com/companies/algolia,"San Francisco, CA, USA; Paris, Île-de-France, France",810,B2B,"B2B -> Engineering, Product and Design","B2B, Engineering, Product and Design","Developer Tools, SaaS, B2B","United States of America, France, America / Canada, Europe, Remote, Partly Remote",Growth,True,True,False,,https://bookface-images.s3.amazonaws.com/small_logos/3957efb32806e40351fb432ce3c38ae6d22865b3.png,1384980277
580,Bellabeat,bellabeat,Winter 2014,Active,Tech-powered women's wellness.,"Founded in 2014, Bellabeat is a data-centered wellness femtech company behind some of the most fashionably designed tech-powered wellness products and one of the fastest-growing wellness subscription services for women. Throughout the years, Bellabeat built the go-to wellness brand with a compelling ecosystem of solutions and services focused on women’s health. The success of the Leaf and Ivy wearables enabled the brand to expand to international markets and kickstart industry discussions on the importance of innovating in the design and development of tech products. Today, Bellabeat is leading the market shift with hyper-personalized holistic wellness offerings aligned with a women’s menstrual cycle. ",http://bellabeat.com,https://www.ycombinator.com/companies/bellabeat,"San Francisco, CA, USA",134,Consumer,Consumer -> Consumer Electronics,"Consumer, Consumer Electronics","Fitness, Health & Wellness, Femtech","United States of America, America / Canada, Remote, Partly Remote",Growth,True,False,False,,https://bookface-images.s3.amazonaws.com/small_logos/ed160215b7a30dc30384bfcf6e726bac65688aff.png,1384978624
590,Cruise,cruise,Winter 2014,Acquired,Self-driving cars.,"Cruise is building the world’s most advanced, all-electric, self-driving car technology to safely connect people with the places, things, and experiences they care about. Self-driving cars will help save lives, reimagine cities, redefine time in transit, and restore freedom of movement for individuals who live in dense urban settings. Acquired by GM in 2016.",http://getcruise.com,https://www.ycombinator.com/companies/cruise,"San Francisco, CA, USA",3000,Industrials,Industrials -> Automotive,"Industrials, Automotive","Autonomous Delivery, Machine Learning, Climate, AI, Self-Driving Vehicles","United States of America, America / Canada, Remote, Partly Remote",Growth,True,False,False,,https://bookface-images.s3.amazonaws.com/small_logos/b9aae9ad065dcf8b7a07d47b45a0667c6953810b.png,1384978717
595,Flexport,flexport,Winter 2014,Active,Platform for global logistics.,"Founded in 2013, we believe trade can move the human race forward. That’s why our mission at Flexport is to make global trade easy for everyone.

What the internet has done for bits and bytes, Flexport is doing for physical goods: giving every business the ability to connect to any customer, wherever they are in the world. That sounds pretty straightforward, but a fragmented and inefficient global supply chain has held the world back from untapped growth and innovation. By connecting everyone in the global economy we can unlock commerce, creativity, and human progress.

To do so, we’re building the platform for global logistics—empowering buyers, sellers and their logistics partners with the technology and services they need to grow and innovate. 
Today, we work with more than 40,000 customers and their suppliers across industries like manufacturing, retail, electronics, consumer goods, tech, apparel, and beauty. Companies of all sizes—from emerging brands to Fortune 500s—used Flexport technology to move nearly $19B of merchandise across 112 countries in 2021.

Interested in joining our team? Check out our open job postings on careers site and apply directly today! https://www.flexport.com/careers/jobs/ ",https://www.flexport.com/careers/jobs/,https://www.ycombinator.com/companies/flexport,"San Francisco, CA, USA",3000,B2B,B2B -> Supply Chain and Logistics,"B2B, Supply Chain and Logistics","SaaS, Logistics, Supply Chain","United States of America, America / Canada, Remote, Partly Remote",Growth,True,True,False,,https://bookface-images.s3.amazonaws.com/small_logos/54997aad4067ac1994f422a49a5473fa603f5354.png,1384978752
647,Immunity Project,immunity-project,Winter 2014,Active,The free HIV vaccine.,"We're developing a free vaccine to cure HIV and AIDs.  Immunity Project is a non-profit initiative dedicated to developing an HIV vaccine. We hacked the HIV life cycle to develop a vaccine that gives you the same power as HIV controllers. With success in our clinical trials, our goal is to give our vaccine away to the world for free.",http://immunityproject.org,https://www.ycombinator.com/companies/immunity-project,"San Francisco, CA, USA",11,Unspecified,Unspecified,Unspecified,"Health Tech, Biotech","United States of America, America / Canada",Early,False,False,True,,/company/thumb/missing.png,1389695796
643,Dyspatch,dyspatch,Winter 2014,Active,"AI Email Production - Emails on brand, guaranteed to work, fast.","Dyspatch is an AI-powered communications platform that transforms how teams build and manage transactional email at scale.
Our platform uses AI to accelerate email creation — from generating and refining content to automating localization across 300+ locales — so your Product, Marketing, and CRM teams can ship polished, dynamic emails without touching code or waiting on developers.
A centralized hub for creation, approval, and publishing, Dyspatch connects directly to your existing cloud email provider or messaging service. Upload your templates in minutes, and let AI handle the heavy lifting: optimizing copy, personalizing at scale, and streamlining the entire review-to-send workflow.
Built for teams that move fast. No devs required.",https://www.dyspatch.io,https://www.ycombinator.com/companies/dyspatch,"Victoria, BC, Canada; Remote",20,B2B,B2B -> Marketing,"B2B, Marketing","SaaS, B2B","Canada, America / Canada, Remote, Fully Remote",Growth,False,False,False,Sendwithus,https://bookface-images.s3.amazonaws.com/small_logos/14dfb847178b7f4bbd87cf5c343762a6ac57c19d.png,1385118322
642,OpenCurriculum,opencurriculum,Winter 2014,Active,Helping K-12 teachers and school administrators build awesome…,"A library of community curated teaching and learning materials, free to the entire world. Come collaborate; we can teach better together.

OpenCurriculum, Inc. is a California based technology nonprofit organization with a mission to bring openness and innovation to K12 education around the world",https://opencurriculum.org,https://www.ycombinator.com/companies/opencurriculum,"Sacramento, CA, USA; Mountain View, CA, USA",,Unspecified,Unspecified,Unspecified,"Artificial Intelligence, Education","United States of America, America / Canada, Remote, Partly Remote",Early,False,False,True,,https://bookface-images.s3.amazonaws.com/small_logos/04fd9eb75663f94c36937a33d5a36579f95693e1.png,1385117560
641,MixerBox,mixerbox,Winter 2014,Active,AI Super-Apps to Live Easier | The anything anytime superapps…,"MixerBox is an AI Super-Apps technology company that helps people live easier through its 24/7 daily-essential mobile apps platform.

Founded in 2012 by Harvard alumnus John Lai, MixerBox is backed by the Silicon Valley unicorn accelerator Y Combinator. The company’s apps have surpassed 300,000,000 downloads worldwide, and allow MixerBox users to wake up to MixerBox AlarmTunes, read MixerBox NewsDash, browse with MixerBox ChatAI Browser, pay with MixerBox AI Pay, watch MixerBox FreecableTV, and fall asleep with MixerBox Inspire Meditation. App by app, MixerBox strives to become the “Anything, Anytime Super-Apps Platform” to help people live easier.",http://mixerbox.com,https://www.ycombinator.com/companies/mixerbox,"Los Angeles, CA, USA",30,Consumer,Consumer,Consumer,"Generative AI, Consumer, Productivity, AI","United States of America, America / Canada",Early,False,False,False,,https://bookface-images.s3.amazonaws.com/small_logos/074cd05efbc63f7a13cbb794c1df90f03162dc58.png,1385030476
639,GBatteries,gbatteries,Winter 2014,Active,Enabling li-ion batteries to charge ultra fast without compromising…,Our technology enables li-ion batteries to charge extremely fast while retaining long cycle life using smart control algorithms.,https://www.gbatteries.com,https://www.ycombinator.com/companies/gbatteries,"Ottawa, ON, Canada",25,Industrials,Industrials -> Climate,"Industrials, Climate","Energy Storage, Hard Tech, Climate","Canada, America / Canada, Remote, Partly Remote",Early,False,False,False,"BatteryOS, GBatteries, ActiveBMS",https://bookface-images.s3.amazonaws.com/small_logos/79847364e215c69a3ff37ac2ae702dfa827a647b.png,1384996905
