id,name,slug,batch,status,one_liner,long_description,website,ycdc_company_url,all_locations,team_size,industry,subindustry,industries,tags,regions,stage,top_company,isHiring,nonprofit,former_names,small_logo_thumb_url,launched_at
29162,Flex,flex,Summer 2023,Active,Stripe for HSA/FSA payments,"Flex is a payment platform for businesses to accept HSA/FSA, unlocking the $150B per year sitting in HSA/FSA accounts. 
",https://www.withflex.com/shop,https://www.ycombinator.com/companies/flex,Remote,8,Fintech,Fintech -> Payments,"Fintech, Payments","Fintech, Marketplace, Health & Wellness","Remote, Fully Remote",Growth,False,True,False,,https://bookface-images.s3.amazonaws.com/small_logos/6db50cb8b7d8269f3c2b9ce2c300b8dd5e7d0bab.png,1690520542
29160,Letterbook,letterbook,Summer 2023,Active,AI-native customer support platform,"Letterbook is the AI-native alternative to Zendesk, Freshdesk, Zohodesk, and Intercom. We help companies manage and resolve customer support tickets across email, in-app feedback, and website forms. Our AI will triage your tickets, write replies, and build your knowledge base.",https://www.letterbook.ai/,https://www.ycombinator.com/companies/letterbook,"San Francisco, CA, USA",2,B2B,B2B -> Operations,"B2B, Operations","Customer Service, Customer Support, AI","United States of America, America / Canada",Early,False,False,False,"Usher, Martin",https://bookface-images.s3.amazonaws.com/small_logos/c6c57e5c710ca16dd9d6aada5b18cbe7dbed8be8.png,1689104591
29159,Healthtech 1,healthtech-1,Summer 2023,Active,"Navigating patients to the right place, first time.","Healthtech-1 builds clinical AI that navigates patients to the right place, first time. Today we automate eligibility checks, triage and appointment booking for 1,600+ NHS GP practices.

Tomorrow, every healthcare appointment - GP, pharmacy, dentist, physio - is instantly bookable on bookable.health.

Why now?
The NHS has come a long way, but access to it hasn't. Patient satisfaction is at a 25-year low. Automating access to care - eligibility, triage, booking - is how we reverse the trend.",https://www.healthtech1.uk/,https://www.ycombinator.com/companies/healthtech-1,"London, England, United Kingdom",40,Healthcare,Healthcare -> Healthcare IT,"Healthcare, Healthcare IT","Health Tech, Workflow Automation, Digital Health, Healthcare, Healthcare IT","United Kingdom, Europe",Early,False,True,False,,https://bookface-images.s3.amazonaws.com/small_logos/15cc6519a2b0765f7891150168879dacd368471a.png,1688443537
29158,Feanix Biotechnologies,feanix-biotechnologies,Summer 2023,Active,Farm Genetics Made Easy - Using DNA and Software,"Feanix is a trailblazing force in the trillion-dollar animal breeding industry. Feanix leverages proprietary genetic testing advancements to provide genetics and breeding as a service. 
",https://www.feanixbio.com/,https://www.ycombinator.com/companies/feanix-biotechnologies,"Asheville, NC, USA",5,Industrials,Industrials -> Agriculture,"Industrials, Agriculture",,"United States of America, America / Canada",Early,False,True,False,,https://bookface-images.s3.amazonaws.com/small_logos/8ebea1f97b9fb9414d0775e2f2eff98efacb7b81.png,1691628578
29157,Orbio Earth,orbio-earth,Summer 2023,Active,Tracking methane emissions with satellites,"Orbio uses satellite imagery to track methane emissions from the oil & gas industry. We sell the data to financial companies that want to invest into the best performing energy companies.

Until today, oil & gas companies use excel-based emission factors to calculate and report their emissions. As these excel-based emission factors underestimate actual emissions by ~70%, the finance companies that invest into oil & gas can’t mitigate against incoming risks from new regulations, 

We have built a technology that can for the first time use satellite images to track methane from every single oil & gas facility on the planet, replacing emission factors and allowing finance companies to make the best bets on oil & gas companies that will withstand a wide avalanche of incoming regulation. In the summer 2023 our satellite-based technology got ranked #1 both in terms of accuracy and sensitivity of methane emission events by Stanford University in a peer-reviewed study, beating a range of multi-bn dollar competitors like Maxar.

Learn more at https://orbio.earth",https://www.orbio.earth/,https://www.ycombinator.com/companies/orbio-earth,Remote,6,B2B,B2B -> Analytics,"B2B, Analytics","Artificial Intelligence, Satellites, Analytics, Climate, Energy","Remote, Fully Remote",Early,False,True,False,,https://bookface-images.s3.amazonaws.com/small_logos/c8b46bfc8422d4590d819ae4695c62834845a549.png,1687128394
29153,Coba,coba,Summer 2023,Active,Dual Currency Accounts For LatAm,"Coba makes it easy for Mexican knowledge workers employed by US companies to earn in US Dollars and seamlessly spend locally in Pesos.

On average, a knowledge worker will lose $1,000 per year in hidden ForEx and transfer fees. In that process, their money will touch at least 3 different accounts adding time and steps along the way. These workers’ require more than simple money movement, they demand a financial solution that addresses their specific needs: banking, saving, spending - all in two currencies.

Coba allows its users to not only deposit and save their earnings in a US account, but also access critical financial services at home in Mexico - from a local credit card to integrated bill pay. With Coba, remote workers can live across two currencies... efficiently and effortlessly.",https://www.coba.ai,https://www.ycombinator.com/companies/coba,"Monterrey, N.L., Mexico; Austin, TX, USA",9,Fintech,Fintech,Fintech,"Fintech, Latin America, Remittances, Neobank","Mexico, United States of America, Latin America, America / Canada, Remote, Partly Remote",Early,False,True,False,,https://bookface-images.s3.amazonaws.com/small_logos/064ab4995b234ee61187e6d755a27338f57c5c90.png,1689886684
29152,Cembla,cembla,Summer 2023,Active,AI for legal & government,,https://cembla.com,https://www.ycombinator.com/companies/cembla,"San Francisco, CA, USA",2,B2B,B2B -> Legal,"B2B, Legal","SaaS, GovTech, B2B, Legal","United States of America, America / Canada",Early,False,False,False,"Taylor, Taylor AI",https://bookface-images.s3.amazonaws.com/small_logos/41b0a27e54d4ae8ccb5d6d44522528df85b7ed7a.png,1687991939
29150,Tempo,tempo-2,Summer 2023,Active,"Visual Editor for React, powered by AI","Tempo is a visual editor for react that gives PMs, designers, and engineers the ability to collaborate visually on code. It offers the familiar UX of a design tool but functions like an IDE under the hood. Tempo is optimized for Vite and Tailwind.",https://www.tempo.new,https://www.ycombinator.com/companies/tempo-2,"Toronto, ON, Canada",8,B2B,"B2B -> Engineering, Product and Design","B2B, Engineering, Product and Design","Artificial Intelligence, Developer Tools, B2B, Design Tools, AI","Canada, America / Canada",Early,False,True,False,Tempo Labs,https://bookface-images.s3.amazonaws.com/small_logos/860f478b7cd2ea33eefb86e90c9c693abef2997f.png,1689887097
29146,Singularity,singularity,Summer 2023,Active,Building and Protecting an Exciting Future,Singularity is answering humanity’s call to engineer counter-weapon systems at scale.  We build to protect people on the battlefield and at home.,https://www.singularityus.com/,https://www.ycombinator.com/companies/singularity,"Los Angeles, CA, USA",1,Industrials,Industrials -> Aviation and Space,"Industrials, Aviation and Space","Hardware, Manufacturing, Aerospace","United States of America, America / Canada, Remote, Partly Remote",Early,False,False,False,Singularity Space,https://bookface-images.s3.amazonaws.com/small_logos/992f82455265202b720c9d34ee95f7a7b0ffbcc9.png,1784043755
29137,Opensteer,opensteer,Summer 2023,Active,Specialized agents for real work,"Opensteer creates specialized AI agents in cloud computers that can integrate with anything. Each agent gets customizable browser access, tools, instructions, and guardrails, so it can work 24/7 exactly the way you need.",https://opensteer.com,https://www.ycombinator.com/companies/opensteer,"Los Angeles, CA, USA; Remote",1,B2B,B2B,B2B,"Artificial Intelligence, Robotic Process Automation, B2B, API, Automation","United States of America, America / Canada, Remote, Fully Remote",Early,False,False,False,"Thumbnail Game, TrendUp, trendup, Curatle, dinogent, Curatle, Oversteer",https://bookface-images.s3.amazonaws.com/small_logos/38b0ef5314d328b72aff9a8d9829350f181b5ace.png,1689032123
29134,Cognitio Labs,cognitio-labs,Summer 2023,Active,AI back office for food product quality teams,"CoAsync by Cognitio Labs is the AI back office for product quality compliance teams.

We help mission-critical food manufacturers automate repetitive, document-intensive workflows.

We started with Certificates of Analysis (COAs), one of the many workflows quality teams manage before products can ship. Today, this work is still performed manually across PDFs, emails, spreadsheets, and disconnected ERP systems. 

Other documents we help quality teams respond to 24x7 include supplier audit questionnaires, production schedules, lab reports & changes in product specifications and quality records.

CoAsync automates the workflow by:

Reading supplier documents
Extracting laboratory data
Validating product specifications
Applying compliance requirements
Drafting compliant COAs
Organizing audit-ready documentation

Results from one of our initial deployments with a mid-market food processor:

85% less QA administrative work
4× more COAs processed per shift
1-2 hours saved per document
New product onboarding in under one day

COAs are just the beginning. Our vision is to build the AI back office for product quality and compliance across regulated industries by automating the many document-intensive workflows manufacturers manage every day.

Backed by Y Combinator and leading investors. Founder Diva Avaya Sharma has presented example AI workflows for product quality and compliance through the World Economic Forum Centre for Advanced Manufacturing and Supply Chains' SmartStart initiative and at the International Telecommunication Union's AI for Good Global Summit, organized in partnership with the United Nations.

Know a company shipping food & product urgently? Help them get started with their own document workflows at https://cognitioiq.com",https://cognitioiq.com,https://www.ycombinator.com/companies/cognitio-labs,"San Francisco, CA, USA",3,Industrials,Industrials,Industrials,"AIOps, B2B, Data Science, AI, AI Assistant","United States of America, America / Canada",Early,False,False,False,"Flair Technology Services Inc., Flair, Flair Health, Flair Technologies",https://bookface-images.s3.amazonaws.com/small_logos/ef89599f5919a67db2c626d5aa12b8e6f38bf8da.png,1690407835
29128,Olio Labs,olio-labs,Summer 2023,Active,Combination therapeutics for the world's toughest diseases,"Olio labs uses AI to develop combination therapeutics that consider the thousands of interacting proteins in your body rather than targeting just one or two. Their lead combinations target obesity and are more effective with fewer side effects than Ozempic, the fastest growing drug of all time. Their custom ML built from real-world expertise and cutting edge AI searches trillions of combinations to find the perfect one.",https://oliolabs.co/,https://www.ycombinator.com/companies/olio-labs,Remote,5,Healthcare,Healthcare -> Drug Discovery and Delivery,"Healthcare, Drug Discovery and Delivery",,"Remote, Fully Remote",Early,False,False,False,,https://bookface-images.s3.amazonaws.com/small_logos/6cb70c7b1c00797475c860562acfdb3a164629b8.png,1689797916
29125,truemetrics,truemetrics,Summer 2023,Active,We show couriers where to park and enter a building.,"truemetrics helps logistics companies to find their customer's faster. By detecting and mapping entrances, we help GLS, a key logistics company in Europe, save 32.7 seconds on each delivery.

The way couriers navigate is broken.

“You Have Arrived At Your Destination!” — or so Google Maps thinks. In reality, the way couriers navigate is broken: No parking, hard-to-find entrances, and labyrinth-like apartment and office complexes can turn the last meters of delivery into a time-consuming puzzle.

truemetrics provides parking positions and entrance locations to enable faster drop-offs. Our data is generated by analyzing sensor data from drivers' smartphones, allowing truemetrics to identify precise parking and entrance locations, thereby simplifying the last meters of delivery.
",https://www.truemetrics.io/,https://www.ycombinator.com/companies/truemetrics,"Berlin, Berlin, Germany",5,B2B,B2B -> Supply Chain and Logistics,"B2B, Supply Chain and Logistics","Artificial Intelligence, Delivery, Logistics, ML","Germany, Europe, Remote, Partly Remote",Early,False,True,False,,https://bookface-images.s3.amazonaws.com/small_logos/a6cd7b0f7663e8989ac828e2eeebe6e1968813d3.png,1688493255
29122,Wattson Health,wattson-health,Summer 2023,Active,AI Voice and SMS Agents for Healthcare,Wattson Health’s AI agents connect with customers over the phone and SMS. Give us your busiest tasks and we’ll train our agents to take them off your hands.,https://www.wattsonhealth.com,https://www.ycombinator.com/companies/wattson-health,,3,Healthcare,Healthcare -> Healthcare IT,"Healthcare, Healthcare IT","Artificial Intelligence, SaaS, Healthcare, Healthcare IT, AI Assistant","Remote, Partly Remote",Early,False,False,False,,https://bookface-images.s3.amazonaws.com/small_logos/e4ba866a12de96b32ebc06498d98a4722760e680.png,1690480394
29121,Constructable,constructable,Summer 2023,Active,Building the next Procore,"Constructable is the modern alternative to Procore, Autodesk, and Fieldwire. We help mid-size general contractors manage the entire lifecycle of a commercial project from bidding to closeout.

With Constructable, teams can accelerate field, project, and financial management in one intuitive system. RFIs, submittals, drawings, daily logs, punch lists, change orders—everything lives in one place, with AI-powered search to find answers instantly.

GCs and builders across the U.S. and Canada are already running smoother projects on Constructable.

Learn more at constructable.ai",https://www.constructable.ai/,https://www.ycombinator.com/companies/constructable,"Santa Barbara, CA, USA",6,Real Estate and Construction,Real Estate and Construction -> Construction,"Real Estate and Construction, Construction","SaaS, Construction, B2B, Productivity, AI","United States of America, America / Canada",Early,False,False,False,"No-Idea, Jem, Superset OS",https://bookface-images.s3.amazonaws.com/small_logos/9d0ff3f692bfb08031dfe4107b5c7695d63a7d30.png,1690913303
29120,Morph,morph,Summer 2023,Active,Fast Models Optimized for Coding Agents,"Specialized inference, built for agent workloads

Fast Open-Source models: Kimi k3, Deepseek v4 flash, qwen 397b, at 200+ tps
Specialized models for applying edits, code search, compaction, and model routing",https://morphllm.com,https://www.ycombinator.com/companies/morph,"San Francisco, CA, USA",3,B2B,B2B -> Infrastructure,"B2B, Infrastructure","Artificial Intelligence, Developer Tools, Generative AI, API, AI","United States of America, America / Canada, Remote, Partly Remote",Early,False,True,False,"AutoInfra, Lingtual, innkeeper",https://bookface-images.s3.amazonaws.com/small_logos/dedc5ca68422aae62a4f58f3a0823d0903b71997.png,1686706939
