id,name,slug,batch,status,one_liner,long_description,website,ycdc_company_url,all_locations,team_size,industry,subindustry,industries,tags,regions,stage,top_company,isHiring,nonprofit,former_names,small_logo_thumb_url,launched_at
12064,Deel,deel,Winter 2019,Active,The all-in-one HR and payroll platform for global teams,"Deel is the all-in-one payroll and HR platform for global teams. Built for the way the world works today, Deel combines HRIS, payroll, compliance, benefits, performance, and equipment management into one seamless platform. With AI-powered tools and a fully owned payroll infrastructure, Deel supports every worker type in 120+ countries—helping businesses scale smarter, faster, and more compliantly. Discover how Deel makes global work simple at deel.com.",https://www.deel.com/,https://www.ycombinator.com/companies/deel,"San Francisco, CA, USA; Remote",5000,B2B,B2B -> Finance and Accounting,"B2B, Finance and Accounting","Fintech, SaaS, B2B, HR Tech, Payroll","United States of America, America / Canada, Remote, Fully Remote",Growth,True,True,False,"SciDex, Deel, D",https://bookface-images.s3.amazonaws.com/small_logos/2b5c8a17f0ab4fa9a72447d94bc3194dc17fce9b.png,1541644458
12237,Nowports,nowports,Winter 2019,Active,The core engine of supply chain in LATAM,"Nowports is the first digital Freight Forwarder shipping ocean containers to and from Latin America. One out of every two containers gets lost or delayed due to miscommunication and lack of management. The platform reduces human mistakes to 0% and saves up to 40% of delays with Nowports models and algorithms. Nowports assist companies so moving ocean containers is fast, simple and secure.",https://nowports.com/,https://www.ycombinator.com/companies/nowports,,550,B2B,B2B -> Supply Chain and Logistics,"B2B, Supply Chain and Logistics",,"Remote, Partly Remote",Early,True,False,False,,https://bookface-images.s3.amazonaws.com/small_logos/3adc2d7230f0a2c3c705c361a16f9f9b93e81b7d.png,1543948512
2019,JuziBot,juzibot,Winter 2019,Active,"Intercom for WeChat, help companies to acquire,  engage, retain…","JuziBot is a startup that provides smart marketing and sales services for customers on WeChat platform, the company helps SMBs build secure and stable key opinion customer (KOC) channels, as well as helps corporate clients with customer acquisition and sales conversion. JuziBot currently serves customers in education, insurance, healthcare, and a few other industries, some of the clients include Meituan Dianping, Digital China, Zuoyebang, etc., and 80% of these existing customers have been acquired through word of mouth. JuziBot's products have been known to improve the sales experience for one million sales professionals on a daily basis. 

The company is invested by a number of leading VCs including PreAngel, Plug and Play, Y Combinator, TSVC, and Alpha Startups. JuziBot received the CCFA Retail Technology Rising Enterprise Award in 2018. In 2018 and 2019, respectively, the company won the 1st place in both of the task-based human-machine dialogue response naturalness, and the chat-type human-machine dialogue assessment in the SMP Chinese Human-Machine Dialogue Technology Evaluation held by the Chinese Information Processing Society of China (CIPSC).",https://www.juzibot.com/,https://www.ycombinator.com/companies/juzibot,"Beijing, Beijing, China",34,B2B,"B2B -> Engineering, Product and Design","B2B, Engineering, Product and Design","Chatbot, Analytics, Customer Support","China, East Asia, Remote, Partly Remote",Early,False,True,False,Bot Orange,https://bookface-images.s3.amazonaws.com/small_logos/f06ad45b7f49712e329e6cfd50db0616164f6ce0.png,1527048483
12393,Shef,shef,Winter 2019,Active,Shef is a Marketplace for Homemade Food,"At Shef, we’re bringing humanity back to mealtime by connecting consumers with talented chefs in their community. By introducing the sharing economy to the dinner table, we create meaningful economic opportunities for chefs while making homemade meals more accessible and affordable. Shefs on the platform craft menus inspired by their passion and expertise, preparing meals in small batches and delivering them to your door—so you can enjoy the warmth of a homemade meal without the hassle.

We have raised over $100M from investors including Andreessen Horowitz, Y Combinator, Craft Ventures, and M13, as well as founders and executives from Instacart, TaskRabbit, StubHub, AngelList, Lyft, Airbnb, and Yelp.",https://www.shef.com,https://www.ycombinator.com/companies/shef,"San Francisco, CA, USA",70,Consumer,Consumer -> Food and Beverage,"Consumer, Food and Beverage","Marketplace, Consumer, Food, Food Tech","United States of America, America / Canada, Remote, Partly Remote",Early,False,True,False,,https://bookface-images.s3.amazonaws.com/small_logos/cbe8a3b1ecda5bf8f0abbf42c5ee7b0942d09160.png,1546662795
12374,Schoolable,schoolable,Winter 2019,Active,Tuition collection service for K-12 private schools in Africa,"We are a financial technology company that is revolutionizing the state of pre-tertiary education in Africa.

By paying school fees for parents upfront with a flexible monthly repayment plan, building fees savings culture among parents, This way, schools get up to 80% of all their expected fees 2weeks into resumption and also enabling schools to access to loan facility and availability of various vendors and service providers at discounted rates. ",http://schoolable.co,https://www.ycombinator.com/companies/schoolable,"Lagos, LA, Nigeria; LA, Nigeria",10,Education,Education,Education,Education,"Nigeria, Africa",Early,False,False,False,Allpro Technologies,https://bookface-images.s3.amazonaws.com/small_logos/1ac4fda3bbb7ab2b975493a939cc90d1df810e24.png,1546482893
12373,Shipper,shipper,Winter 2019,Active,Southeast Asia’s e-commerce logistics and enablement platform,,https://shipper.id,https://www.ycombinator.com/companies/shipper,"Jakarta, Jakarta, Indonesia",600,B2B,B2B -> Supply Chain and Logistics,"B2B, Supply Chain and Logistics","Logistics, E-commerce","Indonesia, Southeast Asia, Remote, Partly Remote",Growth,False,False,False,,https://bookface-images.s3.amazonaws.com/small_logos/d7e6eeda0da5998a1259c2403e1417212d97b487.png,1546482892
12371,Buy Me a Coffee,buy-me-a-coffee,Winter 2019,Active,Helping creators monetize,Buy Me a Coffee is a fast and beautiful way to fund your creative work. Loved by over a million creators. ☕️,https://www.buymeacoffee.com/,https://www.ycombinator.com/companies/buy-me-a-coffee,"London, England, United Kingdom; Remote",30,Consumer,Consumer -> Content,"Consumer, Content","Fintech, Marketplace","United Kingdom, Europe, Remote, Fully Remote",Early,False,False,False,"Brew.com, Brew, Brew.com, Buy Me A Coffee",https://bookface-images.s3.amazonaws.com/small_logos/0128100e5d2ef79ef307fb5dabc8f57cdaac83ba.png,1546481051
12358,Eclipse Foods,eclipse-foods,Winter 2019,Active,"Eclipse Foods is building the future of dairy using micelles, the…","Eclipse Foods is building the future of dairy using micelles (the microscopic magic of milk.) Eclipse has developed the world's first plant-based dairy platform which makes plant-based products with the taste, texture, and functionality of conventional dairy. 

We are transforming the $500B dairy industry and have raised over $60M from leading investors such as Y Combinator, the chairman of Beyond Meat, the founder of Reddit, the creator of Gmail, Forerunner Ventures, Sozo Ventures, Initialized Capital, and more. 

Our mission is to create a more sustainable, healthy, and humane food system by making plant-based foods that require no sacrifice. 
",http://www.eclipsefoods.com,https://www.ycombinator.com/companies/eclipse-foods,"San Francisco, CA, USA; Oakland, CA, USA",,Consumer,Consumer -> Food and Beverage,"Consumer, Food and Beverage","Consumer, Climate, Food Tech","United States of America, America / Canada, Remote, Partly Remote",Growth,False,False,False,Bowvine,https://bookface-images.s3.amazonaws.com/small_logos/515be9fcda4dad738d6f69b48e4df0e71ed64103.png,1545577453
12355,YourChoice Therapeutics,yourchoice-therapeutics,Winter 2019,Active,YourChoice therapeutics is revolutionizing the contraceptive market…,"YourChoice Therapeutics is revolutionizing the global contraceptive market. Our vision is to develop non-hormonal contraceptives to provide both women and men with birth control options that lack the associated risks of hormone-based options but are equally effective. Traditionally, it has been the women’s financial and health burden to have a contraceptive in place. Our first goal is therefore to  bring a novel non-hormonal, on-demand and low cost female contraceptive to the market that will substantially improve their quality of life and well-being. Our second goal is to develop the first ever non-surgical and highly effective non-hormonal contraceptive for men. Currently, male contraception is limited to two main options – vasectomy or condoms. Having such options available to both women and men will globally allow for much better family planning, reduce the number of unwanted pregnancies including abortions and therefore reduce costs and ensure contraceptive health and well-being.",http://ychoicetx.com,https://www.ycombinator.com/companies/yourchoice-therapeutics,"San Francisco, CA, USA; Berkeley, CA, USA",3,Healthcare,Healthcare -> Therapeutics,"Healthcare, Therapeutics","Health Tech, Biotech","United States of America, America / Canada",Early,False,False,False,,https://bookface-images.s3.amazonaws.com/small_logos/5ee153812f550aed3a1d617decff16839415814f.png,1545442492
12352,Taali Inc,taali-inc,Winter 2019,Active,Taali is creating popcorn 2.0 from popped water lily seeds,,https://www.taalifoods.com/,https://www.ycombinator.com/companies/taali-inc,"Mumbai, MH, India; New York, NY, USA",,Consumer,Consumer -> Food and Beverage,"Consumer, Food and Beverage",Grocery,"India, United States of America, South Asia, America / Canada",Early,False,False,False,Taali Foods,https://bookface-images.s3.amazonaws.com/small_logos/3e2c9d691a37a44c2f23d2697fa89342e677bb0a.png,1545302096
